Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs633159	SNP	rs633159	261	0.48	294544	0	0	0	164805	0	0	0
rs476646	SNP	rs476646	221	0.54	337134	0.42	0	0.71	207395	0.0685311000611687	0.0561445952863405	0.0447628051100626
rs7294326	SNP	rs7294326	303	0.51	594174	0.42	0	0.71	464435	0.269241261291883	0.636445850361095	1.14097166949313
rs10744666	SNP	rs10744666	298	0.43	631301	0.42	0	0.71	501562	0.273986362842479	0.736719851525857	1.30957266118545
rs2109553	SNP	TSC1110460	278	0.45	635259	0.42	0	0.71	505520	0.274492224127724	0.74740976712933	1.32754671578502
D12S352	STS	AFM303XD9	671	0.68	661398	0.42	0	0.71	531651	0.277140108437107	0.813568941602393	1.44729565297140
rs758790	SNP	TSC0105692	266	0.46	662448	0.42	0	0.71	532709	0.277229813432842	0.816119833735525	1.45213111698498
rs740895	SNP	TSC0105699	311	0.49	677756	0.85	0	1.54	548017	0.278537626837325	0.85330941161551	1.52262757709905
rs1563619	SNP	TSC0454295	148	0.37	832925	1	0	1.75	703186	0.297521279262165	1.22856179584287	2.22846707205859
D12S341	STS	AFM294YD9	180	0.83	849221	1	0	1.75	719481	0.300260095393462	1.26528223130193	2.30512993847341
rs2107614	SNP	TSC1108146	228	0.47	903079	1.69	0	3.19	773340	0.308958205605813	1.39175434964980	2.55712858695060
D12S91	STS	AFM182XF10	722	0.68	947175	1.69	0	3.19	817412	0.316150872881476	1.50263679388926	2.76214831523417
D12S389	STS	M758B6-1	948	0.73	1113938	2.21	0	4.24	984198	0.35197726608728	1.92658460976956	3.54006610279842
D12S1587	STS	AFM142XC7	820	0.76	1334584	2.21	0	4.24	1204821	0.409638462571831	2.49036913382062	4.59077798254269
rs1005394	SNP	rs1005394	232	0.51	1441137	2.21	0	4.24	1311398	0.441897886095732	2.76191633599328	5.10014501751009
rs766956	SNP	rs766956	232	0.51	1455106	2.21	0	4.24	1325367	0.446336829093039	2.79905380731605	5.16640172719932
D12S1285	STS	D12S1285	153	0.89	1533801	2.21	0	4.24	1404062	0.472509690375763	3.00775726138221	5.5444372724981
D12S1608	STS	AFMA197WA9	782	0.78	1759234	3.89	0	7.72	1629392	0.554657237396184	3.59632447060803	6.65762019782383
D12S1656	STS	AFMB292WE5	758	0.68	1807254	4.24	0.27	8.09	1677486	0.57377908965007	3.7231067044505	6.89691185856227
rs2906893	SNP	rs2906893	216	0.37	1995699	4.24	0.27	8.1	1865960	0.655998445213319	4.21886915129759	7.84429386870878
