Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs545684	SNP	rs545684	177	0.47	159382	0	0	0	149382	0	0	0
rs948263	SNP	rs948263	225	0.44	165503	0	0	0	155503	0.0118972400056473	0.0102236567562371	0.00874222534337826
rs527283	SNP	rs527283	275	0.54	302224	0	0	0	292224	0.277638548748027	0.516140943324024	0.914416094358194
rs721241	SNP	rs721241	230	0.39	342424	0.59	0	0	332424	0.355774318757342	0.69561229144778	1.26943748439177
rs722725	SNP	rs722725	159	0.36	415105	0.61	0	1.22	405105	0.497042624728662	1.01069121850925	1.88286979470632
rs1940437	SNP	rs1940437	112	0.28	415259	0.61	0	1.22	405259	0.497341950812778	1.01135320138780	1.88414777740832
rs1940436	SNP	rs1940436	170	0.35	415401	0.61	0	1.22	405401	0.497617952786442	1.01196360118489	1.88532617704263
rs486633	SNP	rs486633	190	0.35	565760	1.67	0	3.07	555760	0.74081254542878	1.60626254443089	3.07222170806961
rs589273	SNP	rs589273	237	0.46	565844	1.67	0	3.07	555844	0.740818317754049	1.60658300129632	3.07284985424473
rs518471	SNP	rs518471	285	0.39	618124	2.18	0	4.09	608124	0.744136492252659	1.80372588986188	3.460918811957
D18S1140	STS	AFM287WE1	462	0.41	625321	2.18	0	4.09	615310	0.74458505519937	1.83029276330735	3.51294664260787
rs3016816	SNP	rs3016816	295	0.57	629239	2.37	0	4.49	619239	0.744826826566976	1.84447856065378	3.54057745855798
rs7237052	SNP	rs7237052	298	0.47	642678	2.37	0	4.49	632678	0.745656118401909	1.89313678692706	3.63535299085854
D18S59	STS	AFM178XC3	993	0.78	646461	2.37	0	4.49	636459	0.745889559209376	1.90683379340014	3.66203174959751
D18S1372	STS	D18S1372	121	0.89	909696	2.37	0	4.49	899696	0.760793099318985	2.75923324183628	5.34332706697821
rs1557299	SNP	rs1557299	222	0.43	931661	2.66	0	5.05	921661	0.761985005215995	2.82247613164909	5.46958667084613
rs9303777	SNP	rs9303777	305	0.47	1297985	4.11	0	7.89	1287985	0.782225027348725	3.67767148235083	7.18897315907102
rs1395952	SNP	rs1395952	290	0.47	1367453	4.11	0	7.89	1357453	0.786643907420643	3.80770515825406	7.42811800824927
rs969241	SNP	rs969241	278	0.53	1411308	4.11	0	7.89	1401308	0.789446357147913	3.87540608974869	7.56082717211525
rs1549094	SNP	rs1549094	184	0.48	1577409	4.11	0	7.89	1567409	0.802499169043469	4.10927494905152	8.00126744851276
rs1371271	SNP	rs1371271	108	0.25	1757847	4.11	0	7.89	1747847	0.821605696143487	4.46581316307318	8.66124161977048
rs1371267	SNP	rs1371267	43	0.13	1758001	4.11	0	7.89	1748001	0.821627605509451	4.46617924544114	8.66191028096449
rs722852	SNP	rs722852	49	0.14	1765640	4.11	0	7.89	1755640	0.822714395422416	4.48433835718688	8.6950784813611
rs722853	SNP	rs722853	56	0.15	1765654	4.11	0	7.89	1755654	0.822716387182958	4.48437163740214	8.69513926874238
rs1371264	SNP	rs1371264	202	0.43	1775084	4.11	0	7.89	1765084	0.824057980176708	4.50678823954409	8.73608391198626
rs1439433	SNP	TSC0657496	342	0.44	1831299	4.7	0	9.07	1821299	0.832646179114039	4.64137357112764	8.98799361066475
D18S1105	STS	AFM182XG5	93	0.47	1833900	4.7	0	9.07	1823868	0.833070199321718	4.64764370125420	9.0000024142746
rs1439429	SNP	TSC0657489	253	0.35	1842204	4.7	0	9.07	1832204	0.834423933963996	4.66766183296162	9.03834193952493
rs1397057	SNP	rs1397057	174	0.48	1974315	4.81	0	9.14	1964315	0.872330547841778	5.00162733916099	9.64019510112025
D18S818	STS	UT7162	54	0.46	1985920	4.81	0	9.14	1975889	0.878693192212425	5.03695506660840	9.70171423346962
D18S1146	STS	AFM094TH3	575	0.46	2007256	4.81	0	9.14	1997255	0.890391027653366	5.10190572518816	9.8148182582698
D18S476	STS	AFM299YF1	483	0.71	2177865	5.3	0.55	9.95	2167795	1.01824210840683	5.64548930563457	10.8051888430898
rs1402183	SNP	rs1402183	202	0.47	2522159	7.75	0.55	14.45	2512159	1.39959967515513	7.20746902299522	13.5788145780485
rs770238	SNP	rs770238	166	0.43	2527968	7.75	0.55	14.45	2517968	1.40627475436082	7.23480374859981	13.6259170317418
rs12456967	SNP	rs12456967	278	0.45	2774227	7.75	0.55	14.45	2764227	1.69547707683869	8.26111235231727	15.4281822413508
rs12457639	SNP	rs12457639	256	0.37	2781208	7.75	0.55	14.45	2771208	1.70295856219446	8.28718175536656	15.4725477910191
rs894761	SNP	rs894761	242	0.45	2856482	8.18	1.46	15.02	2846482	1.80148406692998	8.53006822935831	15.8932005130737
D18S1098	STS	AFMA175YE9	621	0.56	2869699	8.18	1.46	15.02	2859596	1.82370706118519	8.57248434628957	15.9619965909531
rs583523	SNP	rs583523	295	0.44	2874156	8.18	1.46	15.02	2864156	1.83120103753348	8.58678779133478	15.9851958130994
rs1985	SNP	WIAF-1505	110	0.48	2917223	9.31	1.46	16.64	2907223	1.91754597110242	8.72808050781113	16.2033715791833
rs627538	SNP	rs627538	247	0.45	2941450	9.41	1.46	17.08	2931450	1.97067341725813	8.80857248298366	16.3258385490247
rs643015	SNP	rs643015	255	0.45	2952988	9.41	1.46	17.08	2942988	1.99849473310866	8.8474649209304	16.3845109079233
D18S481	STS	AFM321XC9	599	0.74	3066179	9.41	1.46	17.08	3056132	2.28261317817856	9.25266498326418	16.9453179409801
rs729673	SNP	TSC0016017	262	0.49	3067733	9.41	1.46	17.08	3057733	2.28661571979942	9.25831338695174	16.9527245951314
rs7505690	SNP	rs7505690	183	0.3	3157104	9.41	1.46	17.08	3147104	2.57022528732827	9.57119953176023	17.3634694167772
D18S1370	STS	D18S1370	163	0.79	3157651	9.41	1.46	17.08	3147651	2.57230295505988	9.57336858741763	17.3659522113774
