Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
D2S2983	STS	D2S2983	96	0.48	88488	0	0	0	78488	0	0	0
rs876724	SNP	TSC0208870	248	0.45	114974	1.04	1.95	0.25	104974	0.0362753588724658	0.0287524148443352	0.0215549773499826
rs381726	SNP	TSC0582423	268	0.47	151464	1.04	1.95	0.25	141464	0.0862522464831388	0.0683648749239921	0.0524327190471811
rs300739	SNP	TSC1282645	102	0.19	161605	1.04	1.95	0.25	151605	0.100141411110703	0.0793736432897855	0.0771896048219639
rs1350779	SNP	TSC0482026	269	0.41	161856	1.04	1.95	0.25	151856	0.100485181973687	0.0796461214339343	0.0778023627678736
D2S2584	STS	D2S2584	645	0.77	170874	1.04	1.95	0.25	160868	0.112836280150531	0.0894357943579779	0.0998177060197217
rs1461026	SNP	rs1461026	265	0.41	183722	1.04	1.95	0.25	173722	0.130432965599200	0.103383201513457	0.131183100796806
rs378738	SNP	rs378738	86	0.21	194039	1.04	1.95	0.25	184039	0.144563180712363	0.114583030251243	0.156369649513740
rs300751	SNP	rs300751	289	0.49	209063	1.04	1.95	0.25	199063	0.165140126710246	0.130892638369543	0.193047240666520
D2S2268	STS	AFMB283ZH5	650	0.59	215168	1.04	1.95	0.25	205152	0.174378033756026	0.137520045023045	0.207949352692898
rs1474053	SNP	rs1474053	204	0.42	224086	1.04	1.95	0.25	214086	0.190178189478242	0.147201160917548	0.229713117616223
D2S2976	STS	D2S2976	1081	0.86	935557	1.99	1.95	2	925557	0.318860572377175	1.05483811236591	1.96370776865144
rs6716640	SNP	rs6716640	168	0.28	1050818	2.12	1.95	2.31	1040818	0.331993856423239	1.24120961800532	2.25417225541868
rs4246571	SNP	rs4246571	198	0.3	1081034	2.12	1.95	2.31	1071034	0.336388763209134	1.27939569986926	2.32968596872974
rs4971460	SNP	rs4971460	303	0.56	1111597	2.12	1.95	2.31	1101597	0.342613688401058	1.30872865750336	2.40348614866128
rs938326	SNP	rs938326	264	0.49	1401781	3.12	1.95	3.61	1380788	0.423166884223299	1.72718428959472	3.14027889624391
rs950675	SNP	rs950675	239	0.55	1456828	3.12	1.95	4.05	1435835	0.441852303906827	1.81218311235096	3.26640444740729
rs2009364	SNP	rs2009364	205	0.51	1456998	3.12	1.95	4.05	1436005	0.441910009528317	1.81244561166733	3.26679395716618
rs1364648	SNP	rs1364648	201	0.34	1754932	3.12	1.95	4.21	1733939	0.5645981428536	2.21174191961879	4.00991338019034
D2S323	STS	AFM263WB5	671	0.6	2106325	3.12	1.95	4.21	2085167	0.749592082486795	2.77513577134224	4.92294862594193
rs1901270	SNP	rs1901270	159	0.45	2607113	3.12	1.95	4.31	2586120	1.14877991105403	3.55368985702679	6.16993423646228
D2S2393	STS	AFMA101WC1	171	0.95	2718573	4.65	2.73	6.43	2697542	1.27392660649790	3.73535093976020	6.36947747468807
rs1031353	SNP	TSC0334235	318	0.39	2724048	4.65	2.73	6.43	2703055	1.28073704956539	3.74200847025134	6.37875715106267
rs733649	SNP	rs733649	252	0.52	2732665	4.65	2.73	6.43	2711672	1.29145587840788	3.75248663285264	6.39336225997955
rs876565	SNP	TSC0208582	83	0.1	2778504	4.65	2.73	6.43	2757511	1.34563038775308	3.81692868209	6.47114428215468
D2S2245	STS	AFMB005WD9	84	0.57	2798305	4.65	2.73	6.43	2777287	1.36601187119675	3.8540026704919	6.50483777978445
rs709275	SNP	TSC0351292	143	0.33	2831380	4.65	2.73	6.43	2810387	1.40015393302394	3.91351113702374	6.56238074830118
rs935630	SNP	rs935630	269	0.53	2839594	4.65	2.73	6.43	2818601	1.40881475967231	3.92377610228393	6.57902685982933
