Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
D16S521	STS	AFMA139WG1	784	0.76	94296	0	0	0	34245	0	0	0
rs8466	SNP	rs8466	143	0.33	97354	0	0	0	37354	0.00387201621482988	0.00454789533794697	0.00378878148788564
D16S3399	STS	D16S3399	86	0.69	145245	0	0	0	85245	0.0645112341822655	0.0757719815477635	0.0631244695965598
rs2974771	SNP	rs2974771	291	0.49	221057	0	0	0	161057	0.123516754583080	0.373733081177627	0.593350619732543
16PTEL06	STS	D16S3401	934	0.83	231931	0	0	0	171930	0.131458273421087	0.419302511101137	0.677899396409357
rs1211375	SNP	rs1211375	235	0.47	240280	0	0	0	180281	0.137555729810504	0.454290479689639	0.74281550239379
rs1203957	SNP	rs1203957	135	0.26	241210	0	0	0	181211	0.138234929048995	0.458187810003127	0.750046545460687
rs1203974	SNP	rs1203974	247	0.46	277458	0	0	0	217459	0.164724094660811	0.610031406152473	1.03178185633352
rs2858003	SNP	rs2858003	311	0.48	342191	0	0	0	282192	0.212885442042043	0.877250115956766	1.52947477962922
rs926694	SNP	rs926694	225	0.53	527961	0	0	0	467962	0.344340978157004	1.62940263627759	2.91474460435853
rs3213574	SNP	rs3213574	315	0.55	601632	0.36	0	0.77	541633	0.399386891208781	1.91654780326008	3.45633300935491
rs4984892	SNP	rs4984892	247	0.42	622325	1.74	0.4	2.47	562326	0.414955647636868	2.00015958853489	3.60676630323867
rs4984761	SNP	rs4984761	259	0.45	1113695	3.42	0.4	6.76	1053696	0.793923231051216	3.80507124093513	6.92407552220111
rs2738893	SNP	rs2738893	246	0.47	1269029	3.42	0.4	6.76	1209030	0.913898698594166	4.32934131001851	7.88337928317834
D16S3024	STS	AFMA134XC1	163	0.89	1654203	6.18	1.5	11.15	1594203	1.21448831809538	5.54694613323487	10.0968918983709
D16S3395	STS	D16S3395	110	0.7	2001697	6.18	1.5	11.15	1941698	1.50015669977901	6.51586355114649	11.8246178075356
rs758335	SNP	TSC0104580	190	0.24	2011126	6.18	1.5	11.15	1951127	1.50751711231654	6.53551264543413	11.8607873278177
rs7187438	SNP	rs7187438	219	0.4	2120402	6.18	1.5	11.15	2060403	1.58813413481166	6.74866548140419	12.2407000071840
rs1748	SNP	rs1748	47	0.19	2138269	6.18	1.5	11.15	2078270	1.60274556458899	6.78203846722079	12.2950236990217
D16S3394	STS	D16S3394	67	0.42	2138799	6.18	1.5	11.15	2078800	1.60317899257253	6.78302843097983	12.2966351366818
rs1126	SNP	WIAF-1628	86	0.49	2262113	6.18	1.5	11.15	2202114	1.70358864084156	6.97867367763602	12.6498645413942
D16S3124	STS	AFM361TE9	435	0.61	2447585	6.18	1.5	11.15	2387563	1.84710773870971	7.27546897759247	13.129810768293
D16S283	STS	SM7	268	0.65	2567684	7.02	1.5	12.85	2507684	1.92979906373906	7.44202312896418	13.4096020546621
rs1034709	SNP	rs1034709	84	0.17	2941320	7.08	1.5	12.85	2881321	2.14928093233832	8.0279761314724	14.4405745594125
rs1063677	SNP	rs1063677	224	0.46	2945248	7.09	1.5	13.34	2885249	2.1512623753248	8.03391342032154	14.4509743662185
rs757165	SNP	rs757165	316	0.42	2963317	7.09	2.28	13.34	2903318	2.16048122169116	8.05952560463828	14.4960641457631
D16S3070	STS	AFMA353YH1	172	0.78	3093867	7.87	2.28	14.05	3033728	2.22701917794596	8.24208174299677	14.8331177798279
D16S3082	STS	AFMB070YG5	170	0.87	3117181	7.87	2.28	14.05	3057144	2.24015704427765	8.27688441618405	14.8960054381839
rs909410	SNP	TSC0190485	378	0.51	3165425	7.87	2.28	14.05	3105426	2.26539058193837	8.35572806802901	15.0344722817634
D16S676	STS	UT5147	86	0.6	3209345	7.87	2.28	14.05	3149346	2.28914602273562	8.4312505764733	15.1638512011939
D16S2618	STS	ATA42A06	51	0.63	3252609	7.87	2.28	14.05	3192609	2.31329125177846	8.50749729086021	15.2934624037449
D16S2617	STS	D16S2617	36	0.57	3252632	7.87	2.28	14.05	3192633	2.31330334694771	8.50753689648852	15.2935332997244
rs1834026	SNP	TSC0628831	467	0.55	3254470	7.87	2.28	14.05	3194471	2.31426990873332	8.51070190278567	15.2991988132150
rs11228	SNP	TSC0081970	298	0.51	3272391	7.87	2.28	14.05	3212392	2.32369414908147	8.54156157517481	15.3544391109655
rs2075852	SNP	rs2075852	350	0.57	3282605	7.87	2.28	14.05	3222606	2.3290654559793	8.5591499181123	15.3859230907225
D16S475	STS	UT581	639	0.84	3470509	8.69	2.28	15.65	3410330	2.42593048630853	8.88020512942519	15.956566647899
rs2736	SNP	WIAF-506	62	0.35	3536872	8.69	2.28	15.65	3476873	2.45780195365351	8.99798162582432	16.1582460911535
D16S2942	other	D16S2942	23	0.09	3708039	8.69	2.28	15.65	3648039	2.522161136599	9.32362695503525	16.7128441794652
D16S2622	STS	GATA73G05	654	0.58	3709723	8.69	2.28	15.65	3649719	2.52254616306922	9.32701298846072	16.7184790245173
rs129963	SNP	rs129963	269	0.49	3796147	8.69	2.28	15.65	3736148	2.54082739596947	9.47079179204237	16.9849368295272
D16S3065	STS	AFMA323YF5	834	0.74	3822269	8.69	2.28	15.65	3762170	2.54510526139146	9.5141333764679	17.0609247442005
D16S3027	STS	AFMA154WC9	465	0.88	4050872	9.38	2.28	17.16	3990833	2.58006718644563	9.82668415711863	17.6556316548247
rs731471	SNP	rs731471	250	0.51	4136157	9.38	2.54	17.16	4076158	2.59443988350099	9.92916049517256	17.8676145172119
D16S3084	STS	AFMB080YH5	137	0.85	4270248	9.63	2.57	17.16	4210062	2.62802250461323	10.0777697491879	18.1590191999636
rs2386885	SNP	rs2386885	292	0.55	4280176	9.71	2.57	17.16	4220177	2.63098236186691	10.0880264565206	18.1788915029278
D16S3072	STS	AFMB015WA9	888	0.8	4334728	9.71	2.57	17.16	4274728	2.65069650636489	10.1478490178601	18.2953063037352
rs1362626	SNP	rs1362626	183	0.47	4549226	9.71	2.57	17.3	4489227	2.73106953122318	10.3734794294158	18.6983906847128
rs1362627	SNP	rs1362627	25	0.07	4551505	9.71	2.57	17.71	4491506	2.73175997408246	10.3758441209830	18.7024385160469
rs859302	SNP	rs859302	233	0.5	4780262	9.71	2.57	17.71	4720263	2.79828171657696	10.6109454585037	19.0760352571938
rs9930069	SNP	rs9930069	315	0.47	5070502	10.16	2.92	18.25	5010503	3.20271846866106	10.8767686060583	19.3251694446819
rs1127920	SNP	rs9674145	277	0.45	5097947	10.16	2.92	18.25	5037948	3.25168556699561	10.9144824454652	19.3574901557922
D16S3134	STS	AFMA059WF9	94	0.72	5224471	10.16	3.8	18.25	5164461	3.60576052249424	11.1396706185654	19.5124459591776
rs1919057	SNP	rs1919057	154	0.36	5356740	11.71	3.85	19.63	5296741	4.05422220434158	11.4719911194312	19.7493252196361
rs1878543	SNP	rs1878543	160	0.52	5495968	11.71	3.85	19.63	5435969	4.64127465737419	11.8090193900788	20.1172827638927
rs1352150	SNP	rs1352150	156	0.35	5544444	11.71	3.85	19.63	5484445	4.83449361813753	11.9991205164212	20.2935861482548
rs1386067	SNP	rs1386067	70	0.22	5548618	11.71	3.85	19.63	5488619	4.85113063320119	12.015489072023	20.3087666566781
D16S510	STS	AFM312VD5	150	0.71	5741892	12.05	3.85	19.63	5681892	5.79321307170427	12.8016422496661	21.041331918099
rs929469	SNP	TSC0254653	354	0.38	5789629	12.05	6.8	19.63	5729630	6.05928778483157	13.0134397037337	21.2335742509051
rs726240	SNP	rs726240	172	0.34	5831291	12.05	6.8	19.63	5771292	6.27077776766148	13.2327483162710	21.4562299793194
rs1012259	SNP	rs1012259	264	0.48	5952909	12.05	6.8	19.87	5892910	6.86641746783742	13.8905697220138	22.1210413787789
rs2043631	SNP	rs2043631	180	0.38	5966362	12.05	6.8	19.87	5906363	6.93053382474524	13.9629407500611	22.1987197925117
D16S423	STS	AFM249YC5	1141	0.76	6043155	13.97	7.11	21.19	5983155	7.29606682723795	14.3531859003769	22.6001207725789
rs1424125	SNP	rs1424125	131	0.43	6062553	13.97	7.11	21.19	6002554	7.38550485267511	14.4504842781732	22.6986791089069
rs1035564	SNP	rs1035564	210	0.41	6110547	14.34	8.38	21.46	6050548	7.60240502737878	14.6874369616053	22.9472442351657
D16S2616	STS	D16S2616	125	0.73	6272627	15.99	8.38	24.2	6212627	8.31471634721872	15.4944769412264	23.8413154661513
rs933478	SNP	TSC0349587	191	0.37	6284149	15.99	8.38	24.2	6224150	8.36457270117963	15.5554272411358	23.9111958896441
rs716508	SNP	TSC0006754	260	0.52	6336912	15.99	8.38	24.2	6276913	8.58365519010756	15.8403374590597	24.2422483332606
rs725153	SNP	TSC0056890	205	0.27	6338254	15.99	8.38	24.2	6278255	8.58898203310281	15.847691404567	24.2507747696441
D16S3392	STS	D16S3392	647	0.66	6365493	15.99	8.38	24.2	6305330	8.67423673997916	16.0069637049133	24.4337417759478
D16S506	STS	AFM297YG5	533	0.57	6662951	17.11	9.29	25.41	6602738	9.2208215797688	17.5742461004429	26.4503880358129
rs2993	SNP	WIAF-924	157	0.45	6692461	17.11	9.29	25.41	6632462	9.23286214659083	17.6735224206425	26.6065191947439
D16S3042	STS	AFMA205WA9	805	0.65	6725971	17.11	9.29	25.41	6665971	9.24566806672535	17.7332011680044	26.7166305913195
D16S3135	STS	AFMA059XC1	1029	0.8	6809410	17.42	9.29	26.01	6749353	9.27873963941461	17.8523303252875	26.9557142216020
rs953393	SNP	rs953393	133	0.33	6919984	17.42	9.29	26.01	6859985	9.33195261157267	18.0327525911128	27.2605835724427
D16S3030	STS	AFMA175XH1	911	0.75	7005217	17.53	9.29	26.25	6945127	9.38412877283294	18.1555615827645	27.4657639821419
D16S3058	STS	AFMA301WG9	182	0.81	7015266	17.53	9.29	26.25	6955082	9.39222950421663	18.1704074353347	27.4853730705325
D16S3128	STS	AFMA044TA9	766	0.83	7037383	17.53	9.29	26.25	6977326	9.41005852959358	18.2030819025747	27.5285310173862
rs2346242	SNP	rs2346242	246	0.44	7102551	17.67	9.29	26.96	7042552	9.4730617300079	18.3041208800964	27.6546539124277
