Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs2302109	SNP	rs2302109	273	0.48	1110829	0	0	0	1061829	0	0	0
D19S883	STS	AFMA299YC1	544	0.68	1413918	0	1.52	0	1364756	0.23934903739419	1.06082069853402	2.14003676572730
rs1847602	SNP	TSC1750998	354	0.46	1442042	1.76	1.52	3.44	1393042	0.255951979628668	1.16864044969755	2.36564082994977
rs2656869	SNP	rs2656869	218	0.5	1456544	1.76	1.52	3.44	1407544	0.265608544445905	1.22403513012619	2.48128260342948
rs1875960	SNP	TSC0882543	239	0.48	1537467	1.78	2.51	3.44	1488467	0.321926317722051	1.55059431235461	3.11906628875145
rs1061828	SNP	rs1061828	211	0.36	1925970	3.96	2.51	7.01	1876970	0.764203659424433	3.15145118965519	6.05727373583107
rs4807189	SNP	rs4807189	270	0.46	1976640	3.96	2.51	7.01	1927640	0.84295276358859	3.36694896880974	6.42173427529316
rs11084925	SNP	rs11084925	222	0.35	2003029	3.96	2.51	7.01	1954029	0.885742460571894	3.48048099690189	6.61222640069572
D19S878	STS	AFMA282VE9	156	0.89	2359723	5.18	2.51	9.3	2310696	1.59417009254696	5.07027335079507	9.10627108555272
rs11879927	SNP	rs11879927	232	0.42	2539167	5.93	2.51	10.69	2490167	2.02127661446986	5.90498181245256	10.3030147691704
rs887270	SNP	rs887270	250	0.47	2550852	5.93	2.51	10.69	2501852	2.05103666974712	5.9598455080392	10.3801977914374
rs2907334	SNP	rs2907334	196	0.33	2559841	5.93	2.51	10.69	2510841	2.07422548025229	6.00210099749906	10.4398075526717
D19S565	STS	AFMA052WB9	839	0.79	2567233	5.93	2.51	10.69	2518074	2.09329452989678	6.03684930966808	10.4888269491611
rs1688128	SNP	TSC1307215	244	0.52	3030168	8.29	4.71	12.99	2981168	3.73864956631916	8.33294536690317	13.3934754576823
D19S591	STS	GATA44F10	894	0.75	3075853	8.29	4.71	12.99	3026843	3.94332052156174	8.6210870379528	13.7383093268974
rs4900	SNP	rs4900	233	0.51	3119239	8.86	4.71	13.72	3070239	4.12336642707556	8.87931429469288	14.0593002569743
rs1465245	SNP	TSC0380165	320	0.43	3136845	8.86	5.77	13.72	3087845	4.19479594913468	8.98017893419998	14.1839258628019
D19S247	STS	MFD219	148	0.81	3139982	8.86	5.77	13.72	3090981	4.20730941048736	8.99763728950695	14.2053943120222
D19S120	STS	D19S120	118	0.81	3180343	9.59	5.77	14.68	3131343	4.36839352073723	9.22212121762929	14.481294368315
rs562257	SNP	TSC0874595	334	0.39	3184083	9.59	5.77	14.68	3135083	4.38383942396163	9.24207913158232	14.5049215174360
D19S424	STS	AFMA132ZB9	749	0.82	3226373	9.59	5.77	14.68	3177372	4.55849376817553	9.46775297678918	14.7720851902505
D19S209	STS	AFM116XE9	707	0.82	3314332	10.04	5.77	15.75	3265328	4.85109381472008	9.92820606463422	15.3137759839285
rs8111330	SNP	rs8111330	199	0.41	3405515	11.64	7.23	17.21	3356515	5.24969032276614	10.4195571693624	15.8759372303809
rs1715093	SNP	rs1715093	206	0.51	3554783	11.64	7.23	17.21	3505783	5.91579212095121	11.1980354398375	16.7728369363249
rs2108389	SNP	rs2108389	213	0.51	3591590	12.4	7.99	17.21	3542590	6.04973979965693	11.3582232875669	16.9595898988692
rs2052059	SNP	rs2052059	222	0.48	3796849	12.4	7.99	18.3	3747849	6.7976017592707	12.2800712813016	18.0617396827968
rs10853967	SNP	rs10853967	263	0.5	3912951	13.04	7.99	19.34	3863951	7.1788168109679	12.7408988267113	18.6236692632953
rs1445850	SNP	rs1445850	259	0.43	3984768	13.04	8.25	19.34	3935768	7.3876544519716	12.9816943933292	18.8990124671023
rs2379623	SNP	rs2379623	320	0.52	4031810	13.3	8.62	19.34	3982810	7.50292474813844	13.0980901398159	19.0121233970259
rs352500	SNP	rs352500	203	0.46	4190870	13.95	9.48	19.66	4141870	7.89310941777065	13.5396954450706	19.4791690814338
rs2041774	SNP	TSC1058618	433	0.51	4355203	13.95	9.5	19.66	4306203	8.28048029177854	13.9060908097513	19.8520702021053
rs243404	SNP	TSC0859372	250	0.4	4384674	13.95	9.5	19.66	4335674	8.34570467261053	13.9807736569374	19.9298525632647
D19S894	STS	AFMB006XG9	792	0.79	4392434	13.95	9.5	19.66	4343405	8.36287888438672	14.0004383745976	19.9503334130016
rs105038	SNP	TSC0078610	250	0.39	4414710	13.95	9.5	19.66	4365710	8.41626047793787	14.0573980914179	20.0109683748680
rs2992	SNP	WIAF-923	114	0.37	4443046	13.95	9.5	19.66	4394046	8.48676661957068	14.1301783431329	20.0892734179294
rs741923	SNP	rs741923	259	0.51	4448843	13.95	9.5	19.66	4399843	8.50119081857708	14.1450677812749	20.1052931220030
rs8887	SNP	rs8887	237	0.55	4502201	14.36	10.55	19.66	4453201	8.64106432079296	14.2815114230220	20.2569149245395
rs2123731	SNP	TSC1129988	320	0.38	4929473	15.95	10.57	22.2	4880473	9.82439275769042	15.6478504677512	21.8985068915065
D19S216	STS	AFM164ZB8	782	0.71	4949376	15.95	10.57	22.2	4900356	9.88013077169155	15.7144814769801	21.9772125774150
rs753842	SNP	TSC0143371	203	0.39	4977744	15.98	10.97	22.2	4928744	9.9594127608767	15.8090685375915	22.0886746337802
rs1978237	SNP	rs1978237	231	0.39	5209641	16	11.92	22.2	5160641	10.5756346033402	16.5111314455598	22.9175585879827
rs17130	SNP	WIAF-2937	107	0.42	5254970	16	11.92	22.2	5205970	10.6860572219340	16.635295001301	23.0586509938076
rs2238640	SNP	rs2238640	216	0.4	5261506	16	11.92	22.2	5212506	10.7022381633757	16.6546025320861	23.0809942298107
rs886933	SNP	rs886933	188	0.4	5333960	17.75	12.42	24.31	5284960	10.8798079416988	16.8644344122740	23.3302702578057
rs1384936	SNP	rs1384936	150	0.5	5423643	17.75	12.42	24.31	5374643	11.0822464479670	17.0945689833255	23.5958703710168
rs535765	SNP	TSC0859343	419	0.4	5435309	17.75	12.42	24.31	5386309	11.1063615104880	17.1249788899760	23.6321488662306
