Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
D4S3360	STS	D4S3360	555	0.68	115905	0	0	0	105904	0	0	0
D4S90	STS	D4S90	333	0.53	258000	0	0	0	247775	0.275102225969537	0.101706693419507	0.178728946891715
D4S2936	STS	AFMA275YG5	1044	0.83	692247	0.61	0	1.25	682167	0.308659377961921	0.394850870651287	0.938984961890247
rs1894	SNP	WIAF-3858	27	0.3	761850	0.77	0	1.59	751850	0.314686517825417	0.448894395010721	1.0565245783966
D4S111	STS	157-9	183	0.68	992372	0.97	0	2.02	982225	0.340683389205957	0.643878404011951	1.48385193495223
rs935971	SNP	TSC0353478	224	0.38	1045265	0.97	0	2.02	1035265	0.348256789328613	0.691862998947062	1.58065308385642
rs652063	SNP	TSC0175571	294	0.29	1084137	0.97	0	2.02	1074137	0.353674790931219	0.72785915608608	1.64846864203021
D4S3038	STS	AFMA060ZE5	743	0.79	1099931	0.97	0	2.02	1089897	0.355747748981619	0.742805210390724	1.67410676385834
rs963598	SNP	rs963598	306	0.54	1147333	0.97	0	2.02	1137333	0.362318737039579	0.787940527389967	1.75325010108550
D4S115	STS	252-3	349	0.75	1233760	0.97	0	2.02	1223760	0.376733410137185	0.87254831607457	1.91151731327144
rs1179	SNP	WIAF-2091	26	0.07	2235690	1.86	0.38	2.04	2205488	0.664195434726756	2.01815482427852	3.86391300631979
rs736455	SNP	rs736455	234	0.47	2275145	2.77	0.42	5.95	2244943	0.692948606314728	2.08149249297139	3.94220567666958
rs1887365	SNP	rs1887365	143	0.22	2322188	2.77	0.42	5.95	2291986	0.72672685678741	2.14963524060902	4.04425560985630
D4S1614	STS	AFM331XH5	103	0.43	2646689	2.77	0.42	6	2616342	0.992597741893075	2.59565413696851	4.72975879126901
rs362331	SNP	rs362331	270	0.51	3215835	3.58	0.42	6	3185633	1.60391536905494	3.48175093954234	5.9634433050409
D4S3034	STS	AFMA055TC9	421	0.69	3325536	3.59	1.15	6	3295208	1.73956036833909	3.66037967624527	6.20748284119694
D4S412	STS	AFM196XB6	1216	0.79	3380781	3.59	1.15	6	3350489	1.81049883060753	3.74456532133337	6.33109271547188
rs3468	SNP	WIAF-1958	86	0.48	3505448	3.59	1.15	6	3475246	1.97786952855113	3.97514299361053	6.6122591813496
rs3184	SNP	WIAF-1593	112	0.4	3510514	3.59	1.15	6	3480312	1.98478965915155	3.9835676291481	6.6237203219441
D4S179	STS	MFD83	277	0.27	3669567	4.17	1.15	6.81	3639364	2.21502890802758	4.25145345005055	6.9870307136954
D4S2957	STS	AFMB016XG9	110	0.59	3833487	5.38	2.47	8.98	3803176	2.43851446308516	4.57416870604746	7.34476676889429
D4S432	STS	AFM266WB9	115	0.82	4077836	5.38	2.47	8.98	4128736	2.80991107652174	5.02947489998134	7.93248705081745
rs1822320	SNP	rs1822320	153	0.52	4213339	5.38	2.47	8.98	4264240	3.04915333249227	5.31730363625215	8.25695138046355
rs934498	SNP	TSC0351185	262	0.43	4262006	6.43	3.98	8.98	4312907	3.13469137183429	5.41834541665384	8.3736481690973
rs920683	SNP	TSC0234600	222	0.39	4292515	6.43	3.98	8.98	4343416	3.19425567371502	5.48132084544159	8.44748081816172
D4S3023	STS	AFMA046XH1	804	0.67	4301469	6.43	3.98	8.98	4352235	3.21195090948176	5.49979011552034	8.46917409806599
rs894486	SNP	rs894486	249	0.42	4308513	6.43	3.98	8.98	4359414	3.22587153051604	5.51431965968325	8.48623993050351
rs873924	SNP	TSC0203844	296	0.49	4322078	6.43	3.98	8.98	4372979	3.25267920006884	5.5422999644206	8.51910449850679
D4S2925	STS	AFM163YC1	444	0.58	4893199	7.07	4.31	8.98	4944083	4.3420517790237	6.8341671344183	10.0861153252052
D4S2375	STS	GATA42E03	39	0.32	4972672	7.11	4.31	10.29	5023573	4.52741664403949	7.05400078407859	10.3355251028888
D4S2285	STS	UT5936	64	0.69	5104013	7.77	4.31	11.59	5154889	4.83491436421105	7.395991010889	10.7315760032862
rs17882862	SNP	rs17882862	219	0.37	5128726	7.77	4.31	11.59	5179627	4.89124997807224	7.4747228043524	10.8073610700387
rs1073326	SNP	rs1073326	182	0.42	5202802	7.77	4.31	11.59	5253703	5.06203752719493	7.6767330003948	11.0375457024716
rs722867	SNP	rs722867	33	0.08	5207139	7.77	4.31	11.59	5258040	5.07208113048868	7.68777726376694	11.0510921905940
rs1031237	SNP	rs1031237	174	0.29	5213429	7.77	4.31	11.59	5264330	5.08664748158798	7.70379488346045	11.0707388150555
rs17183	SNP	WIAF-3225	77	0.37	5348043	7.77	4.31	11.59	5398944	5.39763843856374	8.06559625168271	11.4951351248515
rs726111	SNP	rs726111	259	0.49	5911983	7.77	4.31	11.59	5962884	7.2332191853335	9.8836672782975	13.318908579761
rs875864	SNP	TSC0207340	224	0.43	6386682	12.25	9.25	15.22	6437583	9.01008163455605	11.5408726034894	14.8069137073776
D4S431	STS	AFM262VG9	1053	0.81	6415601	12.25	9.25	15.22	6466475	9.09044621007671	11.6607302215284	14.8983763608254
rs878283	SNP	TSC0211587	173	0.36	6421669	12.25	9.27	15.22	6472570	9.10730890395477	11.6858796397745	14.9175677360847
rs744699	SNP	TSC0120306	319	0.35	6430773	12.41	9.51	15.22	6481674	9.13260850268018	11.7236120563389	14.9463611244103
D4S2366	STS	GATA22G05	1190	0.8	6484785	12.41	9.51	15.22	6535578	9.34450842821531	11.9161187283342	15.1182516528422
D4S2935	STS	AFMA247XB5	100	0.64	6561077	13.02	9.51	16.46	6611781	9.68562793334882	12.2223431918865	15.3626005205965
rs875579	SNP	TSC0206836	245	0.57	6562943	13.02	9.51	16.46	6613844	9.694198188547	12.2303928581901	15.3685909981803
rs724858	SNP	rs724858	181	0.39	6671959	13.02	9.51	16.46	6722860	10.2375717710271	12.6972283828121	15.7301722793208
D4S3007	STS	AFM292YA5	284	0.56	6782524	13.02	9.51	17.61	6833364	10.8892937423949	13.1958869336416	16.0948877776106
D4S394	STS	AFM037YG1	1289	0.8	6959896	14.77	11.83	17.61	7010768	11.8774126688705	13.9942724556238	16.7109235879983
rs17879565	SNP	rs17879565	331	0.46	7211523	15.85	14.06	17.61	7262424	13.5030560770742	15.2412419701069	17.5569590190201
D4S545	STS	STS4-217	97	0.09	7224956	15.85	14.06	17.69	7275856	13.5786806193905	15.3023912678157	17.6019865292194
rs4425375	SNP	rs4425375	234	0.37	7441852	17.3	14.44	19.2	7492752	14.8880889235757	16.2988001420701	18.2945876608448
rs916915	SNP	TSC0229372	329	0.45	7695403	17.51	16.2	19.2	7746303	16.3817661161046	17.4193359250279	19.0089807856420
rs1989948	SNP	TSC0847270	301	0.36	7703807	17.57	16.71	19.2	7754707	16.4331242048902	17.4564169537786	19.0330846508153
D4S2983	STS	AFM265YH5	130	0.86	7745466	17.57	16.71	19.2	7796341	16.6884343203856	17.6382248213040	19.1541383001334
rs1557816	SNP	TSC0445246	305	0.44	7772599	17.99	16.71	19.2	7823499	16.8560502809011	17.7529668666744	19.2358572763955
rs2269877	SNP	rs2269877	87	0.21	7780712	17.99	16.99	19.2	7831612	16.9061688924686	17.7872757235679	19.2602919520457
D4S2923	STS	AFMA202ZC1	628	0.51	8208510	20.09	20.84	19.93	8259317	19.4788055892633	19.5846747734571	20.3400888557158
rs2280570	SNP	rs2280570	194	0.32	8367142	20.73	20.84	21.36	8418042	20.1854288865235	20.0955718580966	20.6323991601116
rs2049302	SNP	rs2049302	292	0.49	8418605	20.73	20.84	21.36	8469505	20.3944549149881	20.2593022909457	20.7230469301023
rs2972	SNP	rs2972	29	0.08	8495127	21.85	20.86	21.73	8546027	20.7655126855810	20.4961092627217	20.8559954102596
rs1282	SNP	WIAF-2196	94	0.31	8579758	21.85	20.86	22.25	8630658	21.1386225483545	20.7575513217452	21.0027958115530
rs2077679	SNP	rs2077679	67	0.12	9608089	22.83	23.67	22.25	9217187	23.4164356601373	22.3220737132172	21.8987071652522
