Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs738842	SNP	TSC0115445	321	0.43	17060166	0	0	0	15440166	0	0	0
D22S1266	STS	D22S1266	110	0.49	17067676	2.53	2.66	1.44	15447444	0.0199218168523627	0.0217159517385042	0.0207448682767553
rs361799	SNP	rs361799	279	0.47	17164773	2.53	2.66	2.89	15544773	0.740100999163658	0.534461490355698	0.339576699956171
F8VWFP	STS	F8VWFP	345	0.49	17168784	2.53	2.66	2.89	15548783	0.78273075209471	0.56304419511167	0.353514455767219
rs175138	SNP	rs175138	254	0.53	17304132	2.97	3.51	2.89	15684132	2.19476494870992	1.49817902309138	0.840322936530405
rs175139	SNP	rs175139	254	0.53	17304246	2.97	3.51	2.89	15684246	2.1959218323265	1.49896633832722	0.840727790963933
rs175145	SNP	rs175145	37	0.19	17308241	4.09	5.03	2.89	15688241	2.23646349941632	1.52655690295142	0.854915452910799
rs1860945	SNP	rs1860945	244	0.43	17394989	4.19	5.71	2.89	15774989	3.10807619545821	2.11200478212663	1.17309553406724
rs1654	SNP	WIAF-3618	89	0.37	17596388	4.19	5.71	2.89	15976388	5.03074079296416	3.42557452489094	1.90518482292437
rs1034859	SNP	rs1034859	216	0.45	17630486	4.19	5.71	2.89	16010486	5.34289640216654	3.63946842007164	2.02852588497755
rs3815481	SNP	rs3815481	122	0.25	17645823	4.19	5.71	2.89	16025823	5.4808005715088	3.73519345762634	2.08556490281413
rs2286348	SNP	rs2286348	285	0.52	17671133	4.19	5.71	2.89	16051133	5.70710064012972	3.89291789282380	2.18049137621548
rs2401081	SNP	TSC1624870	233	0.3	17829955	6.67	9.47	4.2	16209955	7.07674554251058	4.85560237472712	2.7543279068622
