Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs572098	SNP	rs572098	280	0.44	256875	0	0	0	246875	0	0	0
rs1410219	SNP	rs1410219	71	0.14	351558	0	0	0	341558	0.103292931698743	0.140480896583545	0.175672977079655
rs1329377	SNP	TSC0816147	205	0.35	432081	0.38	0	0	422081	0.180712362407493	0.342010209844695	0.54226247423847
D9S917	STS	ATA6D06	638	0.6	444262	0.38	0	0	434256	0.193518906491618	0.374721361504855	0.598056537282936
D9S1779	STS	AFM026TG9	644	0.59	516800	0.38	0	0	506799	0.267251362796407	0.576576472996585	0.922790908750613
rs881985	SNP	rs881985	76	0.23	569992	0.38	0	0	559992	0.322595372668207	0.720990739157582	1.17082996439608
rs1532310	SNP	rs1532310	243	0.5	602986	0.38	0	0	592986	0.358156952758424	0.807104849011548	1.33160922475086
rs1532309	SNP	rs1532309	213	0.51	603192	0.38	0	0	593192	0.358378983597322	0.807642507574618	1.33261305961881
rs2031175	SNP	TSC1102185	239	0.46	649750	0.38	0	0.75	639750	0.415117789135844	0.925928670480676	1.55738580040566
rs1475202	SNP	rs1475202	270	0.37	694826	0.86	0.43	0.75	684826	0.468304721679266	1.04691521987663	1.77343200851800
D9S1858	STS	AFM274XE1	598	0.57	697027	0.86	0.43	0.75	687007	0.47040847548778	1.05389500274031	1.78382416091470
rs912175	SNP	TSC0194596	225	0.39	712137	0.86	0.43	0.75	702137	0.484850874418558	1.10181164020973	1.85516692452851
rs1917	SNP	WIAF-3881	62	0.26	761569	0.86	0.43	0.75	751569	0.533701431825134	1.25660663316374	2.08949560942590
rs1576748	SNP	rs1576748	144	0.35	1503356	3.02	0.43	5.17	1493356	1.55493921692888	3.58593337716911	5.86812197413256
rs1576747	SNP	rs1576747	131	0.31	1503556	3.02	0.71	5.24	1493556	1.55526066724892	3.58660347342346	5.86919543429668
D9S129	STS	D9S129	397	0.69	1859013	3.02	0.71	5.24	1849012	2.12776601534767	4.80382568428032	7.79440316443013
rs1112534	SNP	rs1112534	117	0.4	2032845	5.44	2.42	8.15	2022845	2.4235618430426	5.41056182428295	8.74416548287902
rs2066111	SNP	rs2066111	159	0.38	2073839	5.44	2.42	8.15	2063839	2.4827307861396	5.55936015249876	8.96517117064209
rs7874439	SNP	rs7874439	151	0.36	2080662	5.44	2.42	8.15	2070662	2.49240420167194	5.58419770856319	9.00193875733235
rs1986592	SNP	rs1986592	165	0.41	2103950	5.84	3.03	8.15	2093950	2.52542112984388	5.66897229534735	9.12743246374345
rs2001776	SNP	rs2001776	54	0.11	2120825	5.84	3.03	8.15	2110825	2.55852825258775	5.72670234872789	9.21699236583587
rs1535842	SNP	rs1535842	261	0.51	2212546	7.11	3.03	10.79	2202546	2.74947983518936	6.05342110094344	9.69492917750648
rs1331829	SNP	rs1331829	226	0.45	2382952	7.11	3.03	10.79	2372952	3.08211016668067	6.73091416653327	10.5773059779607
rs10967213	SNP	rs10967213	280	0.42	2625172	7.11	3.03	10.79	2615172	3.46805272158724	7.60318322225512	11.7752465173970
rs2242104	SNP	rs2242104	244	0.48	2640492	7.11	3.03	10.79	2630492	3.49020232932476	7.65180385685548	11.8501049739379
rs2290465	SNP	rs2290465	113	0.29	2645201	7.11	3.03	10.79	2635201	3.49701058669003	7.66674867202083	11.873114665312
D9S54	STS	MFD141	721	0.5	2911576	7.94	3.03	12.62	2901545	3.71479809272793	8.4621492156002	13.1433933861215
rs1501576	SNP	TSC0746162	318	0.38	2918656	8.39	3.78	12.62	2908656	3.71923687936973	8.4817491424355	13.1756030121542
rs1501586	SNP	rs1501586	134	0.35	2941418	8.46	3.78	12.62	2931418	3.73350745303368	8.54476235354075	13.2791560499730
rs7041442	SNP	rs7041442	215	0.46	2994084	8.46	3.78	12.62	2984084	3.7605116955633	8.67929431588074	13.5214141591723
rs951511	SNP	rs951511	116	0.46	2998820	8.46	3.78	12.62	2988820	3.76265211129588	8.69085276949603	13.5433266288993
rs2078432	SNP	rs2078432	203	0.49	3121992	8.46	3.78	12.62	3111992	3.79285318493373	8.99932343361236	14.0961232784348
D9S939	STS	GGAA22E10	92	0.55	3355943	10.03	3.78	13.07	3345880	3.81947971661302	9.48947280691288	15.0588529511315
rs1548299	SNP	rs1548299	79	0.52	3650174	10.19	3.78	16.3	3640174	3.85859660947564	10.0372104551124	16.2372537129199
rs952673	SNP	rs952673	95	0.19	3673684	10.19	3.78	16.3	3663684	3.86443996203759	10.0797483148025	16.3331195910436
rs1455175	SNP	TSC0686093	188	0.33	3796061	10.19	3.78	16.32	3786061	3.98447454918249	10.3588566326342	16.8426402517491
D9S230	STS	UT685	38	0.53	3818495	10.19	3.78	16.32	3808270	4.01982187644531	10.4164419338017	16.9366783280169
rs734752	SNP	TSC0026698	423	0.48	3827824	10.19	3.78	16.32	3817824	4.03623293251089	10.4412252796465	16.9786190218034
D9S1871	STS	AFM345TA9	106	0.63	3859269	10.19	3.78	16.32	3849166	4.09154922128587	10.5247618119746	17.11998734811
rs501227	SNP	TSC0600322	279	0.39	3913565	10.19	3.78	16.32	3903565	4.19002365673413	10.6815886655558	17.3638811083701
D9S288	STS	AFMA123XG1	1417	0.86	3951792	10.39	3.78	16.77	3941638	4.26114628213427	10.7996207041909	17.535469018586
D9S1873	STS	AFM362TD1	109	0.71	4037497	10.39	3.78	16.77	4027483	4.45209691748234	11.0632036904929	17.9190365486634
