Markers_name	Type	Alias	Informative_meioses	Heterozygosity	Build37_map_physical_position	Sex.averaged_map_position	Female_map_position	Male_map_position	Build36_map_physical_position	Female_map_position_smoothed	Sex.averaged_map_position_smoothed	Male_map_position_smoothed
rs3216	SNP	WIAF-1667	15	0.1	214421	0	0	0	204421	0	0	0
D11S2071	STS	P194B	551	0.85	245611	0	0	0	235610	0.033780351931056	0.0373051137236299	0.0294123797530748
rs741737	SNP	rs741737	228	0.36	288505	0.79	0	1.49	278505	0.0731768586397325	0.133469100118925	0.171914602305220
rs3059	SNP	WIAF-991	114	0.43	840319	3.17	1.33	5.43	830319	0.548282440347542	1.97470331685227	3.36844396236546
D11S1363	STS	AFMA134WH5	413	0.52	1062027	4.27	1.33	7.3	1051990	0.778787254026367	2.70384015242677	4.58171084591104
rs7943074	SNP	rs7943074	292	0.48	1068702	4.27	1.33	7.3	1058702	0.786334007341788	2.72559617946260	4.61765455095336
D11S4177	STS	AFMB355ZA9	678	0.78	1487469	4.27	1.33	7.3	1443978	1.31178124477527	4.07167598033804	6.78259871012323
rs1105350	SNP	rs1105350	284	0.45	1505015	4.27	1.33	7.3	1461591	1.33575416303004	4.12725564841546	6.87112647640639
D11S1984	STS	GGAA17G05	806	0.77	1566810	4.27	1.33	7.3	1523261	1.42188903550381	4.32228382903448	7.17810272031633
rs2008493	SNP	TSC0178993	436	0.5	1582640	4.27	1.33	7.3	1539216	1.44445513658711	4.37196923865359	7.25434500055013
D11S922	STS	AFM217YB10	584	0.96	1604972	4.51	1.33	7.81	1561514	1.47629001778688	4.44206238885031	7.36190296657548
rs2029463	SNP	TSC1095821	105	0.26	1661905	4.51	1.33	7.81	1618481	1.55866587457383	4.61997389987664	7.64282890398371
rs902215	SNP	rs902215	222	0.28	1664616	4.96	1.33	7.81	1621192	1.56260743319519	4.62843331879072	7.65631101456974
D11S4046	STS	AFMB042YF5	167	0.88	1963642	4.96	2.94	7.81	1920210	2.02327419274082	5.54503423791146	9.03704714459419
rs1004446	SNP	rs1004446	256	0.49	2170143	5.32	2.94	8.36	2126719	2.36917206158026	6.16056276785203	9.9356348727786
rs7104786	SNP	rs7104786	288	0.49	2306168	6.89	2.94	11.13	2262744	2.60914760580894	6.55796378019601	10.4995376447014
D11S1318	STS	AFM218XE1	851	0.81	2327223	6.89	2.94	11.13	2283766	2.64757554829734	6.61928153852848	10.5853542824430
rs231352	SNP	TSC0172943	236	0.5	2710822	8.68	2.94	13.86	2667398	3.44028014783592	7.76623791377351	12.1321177082523
rs86392	SNP	TSC0116717	278	0.47	2727185	8.68	2.94	13.86	2683761	3.46972523262506	7.81752048480186	12.1992674778458
D11S4088	STS	AFMA155TE9	147	0.89	2754951	8.68	2.94	13.86	2711507	3.52053706875064	7.90453068846355	12.3131728323983
rs1079714	SNP	TSC0116712	58	0.09	2760741	8.68	2.94	13.86	2717317	3.53450483582170	7.92263491671014	12.3367679000862
rs63934	SNP	rs63934	72	0.16	2789062	8.68	2.94	13.86	2745638	3.60282627471974	8.0111892946327	12.4521799746959
